,0,1,2,3,4,5
107,562.35611,6.47e-31,4,6,1207,1203
108,562.585407,4.63e-31,4,6,1207,1203
109,562.831176,6.28e-33,4,6,1207,1203
110,563.3376900000001,3.27e-31,4,6,1207,1203
111,566.815004,2.8499999999999994e-33,4,6,1207,1203
112,566.9089,2.69e-31,4,6,1207,1203
113,566.990395,5.699999999999999e-33,4,6,1207,1203
114,567.451355,3.6599999999999995e-33,4,6,1207,1203
115,567.790799,2.9199999999999996e-33,4,6,1207,1203
116,568.738776,3.6099999999999996e-33,4,6,1207,1203
117,570.291365,3.27e-31,5,6,1207,1203
118,570.302148,6.53e-31,5,6,1207,1203
119,570.901642,2.9499999999999996e-33,5,6,1207,1203
120,571.542507,3.53e-33,4,6,1207,1203
121,571.612974,4.61e-33,4,6,1207,1203
122,572.600827,2.89e-31,4,6,1207,1203
123,572.662907,6.17e-31,4,6,1207,1203
124,573.674646,5.479999999999999e-31,4,6,1207,1203
125,573.902144,6.39e-33,4,6,1207,1203
126,574.720905,4.52e-33,4,6,1207,1203
127,576.090288,7.19e-32,4,6,1207,1203
128,577.140617,1.48e-31,5,6,1207,1203
129,577.454491,2.7099999999999997e-32,6,6,1207,1203
130,577.615026,6.73e-32,4,6,1207,1203
131,577.81714,1.5e-32,4,6,1207,1203
132,578.479883,4.76e-33,4,6,1207,1203
133,579.763128,5.579999999999999e-33,5,6,1207,1203
134,580.986771,2.8699999999999997e-31,4,6,1207,1203
135,581.070995,4.89e-33,4,6,1207,1203
136,582.3179809999999,6.749999999999999e-32,4,6,1207,1203
137,582.588561,3.62e-32,5,6,1207,1203
138,582.728847,6.02e-31,4,6,1207,1203
139,582.766856,3.01e-31,4,6,1207,1203
140,583.043826,3.25e-33,4,6,1207,1203
141,584.8862690000001,1.48e-31,4,6,1207,1203
142,585.210754,3.12e-33,4,6,1207,1203
143,587.125371,1.4499999999999998e-31,5,6,1207,1203
144,587.4100179999999,7.79e-31,4,6,1207,1203
145,589.634525,7.299999999999999e-32,4,6,1207,1203
146,590.597855,3.49e-33,4,6,1207,1203
147,592.076479,1.18e-31,4,6,1207,1203
148,592.115942,7.24e-31,4,6,1207,1203
149,593.727334,1.1699999999999999e-32,5,6,1207,1203
150,594.80947,2.35e-31,4,3,1207,1203
151,594.922597,4.69e-31,4,6,1207,1203
152,595.290258,1.9699999999999998e-31,4,6,1207,1203
153,595.320673,4.2499999999999996e-32,5,6,1207,1203
154,595.320737,8.509999999999999e-32,5,6,1207,1203
155,596.517192,1.4599999999999999e-31,4,6,1207,1203
156,597.424311,1.55e-31,4,6,1207,1203
157,598.255798,2.19e-31,4,6,1207,1203
158,598.541109,3.13e-31,4,6,1207,1203
159,603.277822,8.809999999999998e-33,5,6,1207,1203
160,604.0920269999999,4.97e-32,4,6,1207,1203
161,604.354865,2.6699999999999997e-31,5,6,1207,1203
162,606.422223,3.1999999999999997e-31,4,6,1207,1203
163,606.730636,1.5999999999999999e-31,4,6,1207,1203
164,607.547385,1.68e-31,4,3,1207,1203
165,608.53842,7.44e-32,5,6,1207,1203
166,608.5387099999999,1.49e-31,5,6,1207,1203
167,608.789392,5.34e-32,5,6,1207,1203
168,608.921778,3.2799999999999995e-32,4,6,1207,1203
169,615.454617,2.02e-31,4,6,1207,1203
170,617.408655,9.749999999999999e-32,4,6,1207,1203
171,618.1620889999999,1.9600000000000001e-31,4,6,1207,1203
172,619.81888,2.8999999999999996e-31,4,6,1207,1203
173,621.5887759999999,1.63e-31,5,6,1207,1203
174,621.590224,8.16e-32,4,6,1207,1203
175,622.488979,2.7099999999999997e-32,4,6,1207,1203
176,623.3408870000001,9.94e-32,4,6,1207,1203
177,624.545804,2.5899999999999997e-31,4,6,1207,1203
178,625.335321,4.24e-32,5,6,1207,1203
179,625.5680610000001,4.2699999999999993e-32,4,6,1207,1203
180,627.54613,1.08e-31,4,6,1207,1203
181,629.2311,5.41e-32,4,6,1207,1203
182,630.058217,1.5999999999999999e-31,4,6,1207,1203
183,634.331626,9.95e-32,4,6,1207,1203
184,634.42362,7e-32,4,6,1207,1203
185,634.429216,1.4e-31,4,6,1207,1203
186,634.770258,6.24e-33,4,6,1207,1203
187,635.640258,1.0199999999999998e-31,4,6,1207,1203
188,636.4590599999999,5.54e-32,4,6,1207,1203
189,636.5195,2.7e-32,4,6,1207,1203
190,636.987629,3.91e-33,4,6,1207,1203
191,639.991574,5.46e-32,4,6,1207,1203
192,643.093489,2.17e-32,5,6,1207,1203
193,643.093897,1.08e-32,4,6,1207,1203
194,643.718447,1.03e-31,5,6,1207,1203
195,643.938577,2.49e-32,4,6,1207,1203
196,644.763743,3.0699999999999995e-32,4,6,1207,1203
197,646.2883780000001,1.85e-31,4,6,1207,1203
198,646.985452,1.01e-31,4,6,1207,1203
199,647.003716,5.07e-32,4,6,1207,1203
200,649.413727,5.29e-33,4,6,1207,1203
201,650.15278,1.2099999999999999e-31,4,6,1207,1203
202,650.57246,1.27e-32,4,6,1207,1203
203,654.946254,1.18e-31,4,6,1207,1203
204,656.614669,3.52e-32,4,6,1207,1203
205,656.615339,1.76e-32,3,6,1207,1203
206,659.21268,3.2299999999999997e-32,4,6,1207,1203
207,659.268013,6.459999999999999e-32,4,6,1207,1203
208,660.38643,4.129999999999999e-33,4,6,1207,1203
209,661.157966,1.08e-32,4,6,1207,1203
210,664.2316639999999,5.03e-32,4,6,1207,1203
211,666.9390099999999,5.27e-33,4,6,1207,1203
212,667.002821,1.05e-32,4,6,1207,1203
213,667.17224,1.2499999999999999e-31,4,6,1207,1203
214,669.0237599999999,1.32e-32,5,6,1207,1203
215,669.343084,5.519999999999999e-32,4,6,1207,1203
216,669.986988,3.5899999999999995e-32,4,6,1207,1203
217,669.987082,1.8e-32,4,3,1207,1203
218,670.010001,1.3099999999999998e-31,4,6,1207,1203
219,671.030633,3.68e-32,4,6,1207,1203
220,671.17512,1.84e-32,4,6,1207,1203
221,675.362925,5.1e-33,4,6,1207,1203
222,675.374155,6.4e-32,4,6,1207,1203
223,675.909188,3.97e-33,4,6,1207,1203
224,677.5120059999999,2.93e-32,4,6,1207,1203
225,679.67788,3.7899999999999997e-32,4,6,1207,1203
226,680.085076,5.649999999999999e-33,5,6,1207,1203
227,681.2764030000001,5.26e-32,4,6,1207,1203
228,681.882836,1.27e-32,5,6,1207,1203
229,682.33818,9.49e-33,4,6,1207,1203
230,682.687747,1.8999999999999998e-32,4,6,1207,1203
231,683.173275,1.4399999999999999e-32,4,6,1207,1203
232,683.173466,2.87e-32,4,6,1207,1203
233,687.006218,1.04e-32,3,6,1207,1203
234,687.095835,8.109999999999999e-32,4,6,1207,1203
235,688.020711,4.86e-33,4,6,1207,1203
236,690.429146,2.85e-32,4,6,1207,1203
237,690.467694,3.9e-33,4,6,1207,1203
238,692.7370980000001,6.0999999999999995e-33,4,6,1207,1203
239,692.976677,1.71e-32,4,6,1207,1203
240,692.998005,8.959999999999999e-33,4,6,1207,1203
241,693.665527,4.7399999999999994e-33,4,6,1207,1203
242,693.78862,4.49e-33,4,6,1207,1203
243,693.996211,1.6699999999999998e-32,4,6,1207,1203
244,695.6750519999999,3.61e-32,4,6,1207,1203
245,696.125716,9.72e-33,4,6,1207,1203
246,696.127785,1.94e-32,4,6,1207,1203
247,696.93114,2.72e-32,4,6,1207,1203
248,697.0564410000001,1.36e-32,4,6,1207,1203
249,699.631771,1.68e-32,4,6,1207,1203
250,701.395709,6.59e-33,4,6,1207,1203
251,701.848555,3.6799999999999995e-33,4,6,1207,1203
252,701.849151,7.37e-33,4,6,1207,1203
253,702.1363759999999,2.35e-32,4,6,1207,1203
254,703.002466,3.3699999999999997e-32,4,6,1207,1203
255,703.083254,2.54e-32,4,6,1207,1203
256,703.894563,7.21e-33,4,6,1207,1203
257,704.1387030000001,1.3e-32,4,6,1207,1203
258,704.487945,3.91e-33,4,6,1207,1203
259,704.859213,1.45e-32,4,6,1207,1203
260,705.025578,7.43e-33,5,6,1207,1203
261,705.891588,2.68e-32,4,6,1207,1203
262,705.925839,1.8799999999999998e-32,4,6,1207,1203
263,706.036512,5.5700000000000005e-33,4,6,1207,1203
264,706.97971,4.3599999999999995e-33,4,6,1207,1203
265,708.803673,1.1499999999999999e-32,4,6,1207,1203
266,708.811412,5.77e-33,4,6,1207,1203
267,709.2813160000001,6.38e-33,4,6,1207,1203
268,710.735971,4.789999999999999e-33,4,6,1207,1203
269,711.598931,2.4999999999999997e-32,4,6,1207,1203
270,712.4694969999999,2.7599999999999994e-32,4,6,1207,1203
271,712.9452980000001,5.0199999999999996e-33,4,6,1207,1203
272,713.5269549999999,5.32e-33,4,6,1207,1203
273,714.830413,9.51e-33,4,6,1207,1203
274,714.994296,4.49e-32,4,6,1207,1203
275,715.253762,9.04e-33,4,6,1207,1203
276,715.35612,2.84e-32,4,6,1207,1203
277,715.53692,7.009999999999999e-33,4,6,1207,1203
278,717.439852,1.2099999999999999e-32,4,6,1207,1203
279,718.213962,1.03e-32,4,6,1207,1203
280,720.0153389999999,1.1399999999999998e-32,4,6,1207,1203
281,721.180344,6.1499999999999994e-33,4,6,1207,1203
282,724.34905,1.36e-32,4,6,1207,1203
283,726.808318,6.87e-33,4,6,1207,1203
