,0,1,2,3,4,5
100,1032.941109,1.525e-30,4,3,1387,1380
101,1033.115701,9.533999999999999e-30,4,4,1387,26
102,1033.143408,1.8369999999999998e-29,4,3,1387,1380
103,1033.286662,2.226e-28,5,3,1387,1380
104,1033.438997,5.255e-30,4,3,1387,1380
105,1033.749711,4.976e-27,5,3,1387,1380
106,1034.9855380000001,2.178e-26,5,7,15,1380
107,1035.0770890000001,8.669e-28,4,3,1387,1380
108,1035.235111,1.793e-30,4,3,1387,1380
109,1035.451049,4.6560000000000005e-26,5,7,15,1380
110,1035.569439,1.078e-30,4,3,1387,1380
111,1035.6680210000002,2.6e-30,5,4,1387,1385
112,1035.920256,3.173e-28,5,3,1387,1380
113,1036.8796960000002,1.621e-26,4,6,1387,1380
114,1037.59159,4.465e-30,4,7,1387,1380
115,1037.673629,1.5349999999999999e-30,4,3,1387,1380
116,1038.0530939999999,3.767e-25,5,6,15,1380
117,1038.60375,4.098e-26,5,6,15,1380
118,1038.701317,7.298999999999998e-27,5,7,1387,1380
119,1038.911484,1.391e-27,4,3,1387,1380
120,1039.216318,6.38e-29,3,3,1387,1380
121,1039.482806,3.03e-24,5,7,15,1380
122,1039.544235,1.1e-24,5,7,15,1380
123,1039.832025,1.189e-29,4,3,1387,1380
124,1039.832343,3.566e-29,4,3,1387,1380
125,1040.391302,5.536e-30,4,3,1387,1380
126,1040.432468,1.294e-28,5,7,1387,1380
127,1040.8000539999998,1.0179999999999999e-30,4,7,1387,1380
128,1040.81375,2.8069999999999996e-29,4,3,1387,1380
129,1040.9028050000002,2.0249999999999998e-30,4,3,1387,1380
130,1041.110296,3.232e-29,4,7,1387,1380
131,1041.347749,2.341e-30,5,7,1387,1380
132,1041.7985640000002,5.463e-27,4,3,1387,1380
133,1042.188342,2.3400000000000003e-26,5,6,15,1380
134,1042.453364,2.093e-30,4,7,1387,1380
135,1042.503558,1.5759999999999998e-30,4,3,1387,1380
136,1042.5251449999998,2.21e-24,5,6,15,1380
137,1042.767685,2.052e-29,4,3,1387,1380
138,1043.0530720000002,5.864e-29,4,3,1387,1380
139,1043.162393,1.189e-29,4,3,1387,1380
140,1044.290268,4.1819999999999994e-26,4,6,1387,1380
141,1044.349054,1.3940000000000002e-26,4,6,1387,1380
142,1044.880181,1.726e-28,6,3,1387,1380
143,1045.142087,1.998e-30,4,7,1387,1380
144,1045.607567,1.42e-29,4,3,1387,1380
145,1045.636107,3.307e-27,5,3,1387,1380
146,1046.268908,7.729e-30,4,3,1387,1380
147,1046.4019119999998,2.796e-29,4,7,1387,1380
148,1047.172559,2.79e-29,5,3,1387,1380
149,1047.855503,1.8990000000000002e-26,5,6,15,1380
150,1048.2684800000002,4.008e-30,5,7,1387,1380
151,1049.3143289999998,3.7370000000000006e-24,5,7,15,1380
152,1049.756545,8.566e-28,5,3,1387,1380
153,1049.783314,2.183e-30,5,7,1387,1380
154,1050.164258,5.0529999999999995e-25,4,6,15,1380
155,1051.263853,4.047e-24,5,7,15,1380
156,1051.347338,1.243e-27,4,3,1387,1380
157,1051.954939,5.242e-30,3,4,1387,26
158,1052.056364,3.704e-29,4,3,1387,1380
159,1052.227664,1.112e-28,4,3,1387,1380
160,1052.387991,6.248999999999999e-30,5,7,1387,1380
161,1052.627828,1.2699999999999998e-27,5,3,1387,1380
162,1053.1804849999999,3.058e-27,4,3,1387,1380
163,1053.368133,4.5089999999999994e-26,5,6,15,1380
164,1053.500381,3.473e-29,4,3,1387,1380
165,1053.591541,4.0669999999999994e-30,4,3,1387,1380
166,1053.680614,4.739e-28,4,3,1387,1380
167,1053.875568,1.1930000000000001e-27,4,3,1387,1380
168,1054.638633,1.019e-30,3,3,1387,1380
169,1054.639019,5.924e-30,4,7,1387,1380
170,1055.2603980000001,2.019e-27,5,3,1387,1380
171,1055.286605,4.928e-27,4,3,1387,1380
172,1055.287217,1.4780000000000003e-26,4,6,1387,1380
173,1055.517746,3.488e-24,5,7,15,1380
174,1055.71357,5.655e-28,4,3,1387,1380
175,1056.337239,1.4209999999999998e-30,5,3,1387,1380
176,1056.696909,1.408e-26,5,7,15,1380
177,1056.737824,2.42e-29,4,7,1387,1380
178,1056.800016,4.53e-29,3,4,1387,26
179,1056.969123,1.8279999999999998e-29,5,7,1387,1380
180,1057.456672,1.357e-28,4,4,1387,26
181,1057.532015,9.246999999999999e-29,4,3,1387,1380
182,1058.454628,1.189e-30,4,3,1387,1380
183,1058.630804,1.5469999999999998e-24,5,7,15,1380
184,1058.912276,6.053e-28,5,7,1387,1380
185,1059.222691,9.872e-28,4,3,1387,1380
186,1059.546695,2.7150000000000003e-27,4,7,1387,766
187,1059.649126,9.048e-28,4,7,1387,766
188,1059.6517529999999,2.905e-29,4,3,1387,1380
189,1060.116418,6.462999999999999e-24,5,7,15,1380
190,1060.227843,1.68e-30,4,3,1387,1380
191,1060.6376400000001,6.275e-27,5,3,1387,1380
192,1061.919836,1.695e-29,4,3,1387,1380
193,1062.080835,4.404e-30,4,3,1387,1380
194,1062.5600259999999,1.619e-30,5,7,1387,1380
195,1062.6283970000002,4.6319999999999994e-24,5,7,15,1380
196,1062.696653,2.8199999999999997e-30,4,3,1387,1380
197,1062.921325,5.119e-29,5,7,1387,1380
